Temperatur,Strom,Heizstrom,Zeit
#Celsius,E-11Ampere,Ampere,Minuten
-33.9,0.8,1,0
-31.9,0.95,1,1
-30.8,1.1,1,2
-29.4,1.15,1,3
-28.0,1.15,1,4
-26.9,1.1,1.5,5
-25,1,1.5,6
-23.8,1,1.4,7
-22.2,0.9,1.4,8
-20.8,0.8,1.5,9
-19.2,0.7,1.5,10
-17.9,0.7,1.5,11
-16.3,0.65,1.5,12
-14.8,0.65,1.7,13
-13.1,0.65,1.7,14
-11.5,0.7,1.7,15
-10.0,0.7,1.9,16
-8.2,0.75,1.9,17
-6.5,0.8,1.9,18
-4.6,0.8,2.3,19
-2.6,0.85,2.3,20
-0.7,0.9,2.3,21
1.3,1,2.3,22
3.3,1.1,2.3,23
5.6,1.2,2.3,24
7.2,1.3,2.3,25
9.0,1.3,2.3,26
11.,1.3,2.5,27
12.9.,1.3,2.5,28
14.9.,1.25,2.5,29
16.7.,1.25,2.5,30
18.6.,1.21,2.5,31
20.6.,1.1,2.5,32
22.2.,1.1,2.5,33
24.2.,1.1,3.0,34
26.7.,1.1,3.0,35
29.2.,1.1,3.0,36
