T,I,t
#°C,pA,min
-56.0,400.0,0.0
-56.7,300.0,1.0
-51.7,300.0,3.0
-49.3,300.0,4.0
-46.0,850.0,5.0
-43.5,750.0,6.0
-41.0,680.0,7.0
-38.4,630.0,8.0
-36.2,600.0,9.0
-33.8,570.0,10.0
-32.1,540.0,11.0
-30.0,520.0,12.0
-28.1,510.0,13.0
-26.0,500.0,14.0
-24.3,490.0,15.0
-22.3,480.0,16.0
-20.3,470.0,17.0
-18.4,470.0,18.0
-16.4,470.0,19.0
-14.4,460.0,20.0
-12.4,470.0,21.0
-10.5,470.0,22.0
-8.7,480.0,23.0
-6.8,490.0,24.0
-4.8,510.0,25.0
-3.2,530.0,26.0
-3.2,540.0,27.0
-2.4,550.0,27.5
-1.4,560.0,28.0
-0.07,570.0,28.5
0.2,590.0,29.0
1.0,615.0,29.5
1.0,615.0,30.0
2.0,640.0,30.5
2.8,670.0,31.0
3.7,710.0,31.5
4.5,750.0,32.0
5.4,800.0,32.5
6.4,850.0,33.0
7.3,910.0,33.5
8.3,1000.0,34.0
9.3,1100.0,34.5
10.3,1150.0,35.0
11.3,1400.0,35.5
13.1,1600.0,36.0
14.1,1700.0,36.5
15.1,2000.0,37.0
16.8,2150.0,38.0
17.8,2150.0,38.5
18.7,2150.0,39.0
19.6,2100.0,39.5
20.5,2050.0,40.0
21.5,1950.0,40.5
22.3,1900.0,41.0
23.0,1850.0,41.5
23.9,1750.0,42.0
24.8,1700.0,42.5
24.8,1700.0,43.0
25.8,1675.0,43.5
26.6,1650.0,44.0
27.5,1600.0,44.5
28.5,1600.0,45.5
31.4,1650.0,47.0
31.4,1650.0,48.0
33.0,1700.0,49.0
35.2,1800.0,50.0
35.2,1800.0,51.0
36.9,1950.0,52.0
39.1,2150.0,53.0
40.1,2350.0,54.0
42.2,2650.0,55.0
44.0,3000.0,56.0
45.0,3000.0,56.0
