Temperatur,Strom,Heizstrom,Zeit
#Celsius,E-11 Ampere,Ampere,Minuten
-56.0, 4.0, 1.5, 0
-56.7, 3.0, 1.5, 1
-51.7, 3.0, 1.5, 3
-49.3, 3.0, 1.5, 4

-46.0, 8.5, 1.5, 5
-43.5, 7.5, 1.1, 6
-41.0, 6.8, 1.1, 7
-38.4, 6.3, 1.1, 8
-36.2, 6.0, 1.1, 9
-33.8, 5.7, 1.1, 10
-32.1, 5.4, 1.1, 11
-30.0, 5.2, 1.1, 12
-28.1, 5.1, 1.1, 13
-26.0, 5.0, 1.6, 14
-24.3, 4.9, 1.6, 15
-22.3, 4.8, 1.6, 16
-20.3, 4.7, 1.6, 17
-18.4, 4.7, 1.6, 18
-16.4, 4.7, 1.6, 19
-14.4, 4.6, 1.6, 20
-12.4, 4.7, 1.6, 21
-10.5, 4.7, 1.6, 22
-8.7, 4.8, 1.7, 23
-6.8, 4.9, 1.7, 24
-4.8, 5.1, 1.7, 25
-3.2, 5.3, 1.7, 26
-3.2, 5.4, 2.0, 27
-2.4, 5.5, 2.0, 27.5
-1.4, 5.6, 2.0, 28
-0.07, 5.7, 2.0, 28.5
 0.2, 5.9, 2.0, 29
 1.0, 6.15, 2.0, 29.5
 1.0, 6.15, 2.0, 30
 2.0, 6.4, 2.0, 30.5
 2.8, 6.7, 2.0, 31
 3.7, 7.1, 2.0, 31.5
 4.5, 7.5, 2.0, 32
 5.4, 8.0, 2.0, 32.5
 6.4, 8.5, 2.0, 33
 7.3, 9.1, 2.2, 33.5
 8.3, 10, 2.2, 34
 9.3, 11, 2.2, 34.5
 10.3, 11.5, 2.2, 35
 11.3, 14, 2.2, 35.5
 13.1, 16, 2.2, 36
 14.1, 17, 2.2, 36.5
 15.1, 20, 2.2, 37
 16.8, 21.5, 2.2, 38
 17.8, 21.5, 2.2, 38.5
 18.7, 21.5, 2.2, 39
 19.6, 21, 2.2, 39.5
 20.5, 20.5, 2.2, 40
 21.5, 19.5, 2.2, 40.5
 22.3, 19, 2.2, 41
 23.0, 18.5, 2.2, 41.5
 23.9, 17.5, 2.2, 42
 24.8, 17, 2.2, 42.5
 24.8, 17, 2.2, 43
 25.8, 16.75, 2.2, 43.5
 26.6, 16.5, 2.2, 44
 27.5, 16, 2.2, 44.5
 28.5, 16, 2.2, 45.5
 31.4, 16.5, 2.2, 47
 31.4, 16.5, 2.2, 48
 33.0, 17, 2.5, 49
 35.2, 18, 2.5, 50
 35.2, 18, 2.5, 51
 36.9, 19.5, 2.5, 52
 39.1, 21.5, 2.5, 53
 40.1, 23.5, 2.5, 54
 42.2, 26.5, 2.5, 55
 44.0, 30.0, 2.5, 56
 45.0, 30.0, 3.0, 56
