x-axis,F1
Hertz,dBV
-50.0000E+03,
-49.5000E+03,
-49.0000E+03,
-48.5000E+03,
-48.0000E+03,
-47.5000E+03,
-47.0000E+03,
-46.5000E+03,
-46.0000E+03,
-45.5000E+03,
-45.0000E+03,
-44.5000E+03,
-44.0000E+03,
-43.5000E+03,
-43.0000E+03,
-42.5000E+03,
-42.0000E+03,
-41.5000E+03,
-41.0000E+03,
-40.5000E+03,
-40.0000E+03,
-39.5000E+03,
-39.0000E+03,
-38.5000E+03,
-38.0000E+03,
-37.5000E+03,
-37.0000E+03,
-36.5000E+03,
-36.0000E+03,
-35.5000E+03,
-35.0000E+03,
-34.5000E+03,
-34.0000E+03,
-33.5000E+03,
-33.0000E+03,
-32.5000E+03,
-32.0000E+03,
-31.5000E+03,
-31.0000E+03,
-30.5000E+03,
-30.0000E+03,
-29.5000E+03,
-29.0000E+03,
-28.5000E+03,
-28.0000E+03,
-27.5000E+03,
-27.0000E+03,
-26.5000E+03,
-26.0000E+03,
-25.5000E+03,
-25.0000E+03,
-24.5000E+03,
-24.0000E+03,
-23.5000E+03,
-23.0000E+03,
-22.5000E+03,
-22.0000E+03,
-21.5000E+03,
-21.0000E+03,
-20.5000E+03,
-20.0000E+03,
-19.5000E+03,
-19.0000E+03,
-18.5000E+03,
-18.0000E+03,
-17.5000E+03,
-17.0000E+03,
-16.5000E+03,
-16.0000E+03,
-15.5000E+03,
-15.0000E+03,
-14.5000E+03,
-14.0000E+03,
-13.5000E+03,
-13.0000E+03,
-12.5000E+03,
-12.0000E+03,
-11.5000E+03,
-11.0000E+03,
-10.5000E+03,
-10.0000E+03,
-9.5000E+03,
-9.0000E+03,
-8.5000E+03,
-8.0000E+03,
-7.5000E+03,-73.57813E+00
-7.0000E+03,-71.97656E+00
-6.5000E+03,-70.41406E+00
-6.0000E+03,-68.81250E+00
-5.5000E+03,-67.25000E+00
-5.0000E+03,-65.64844E+00
-4.5000E+03,-64.08594E+00
-4.0000E+03,-62.48438E+00
-3.5000E+03,-60.92188E+00
-3.0000E+03,-59.32031E+00
-2.5000E+03,-57.75781E+00
-2.0000E+03,-56.15625E+00
-1.5000E+03,-54.59375E+00
-1.0000E+03,-52.99219E+00
-500.0E+00,-51.42969E+00
+0.0E+00,-49.86719E+00
+500.0E+00,-48.26563E+00
+1.0000E+03,-46.70313E+00
+1.5000E+03,-45.14063E+00
+2.0000E+03,-43.57813E+00
+2.5000E+03,-41.97656E+00
+3.0000E+03,-40.41406E+00
+3.5000E+03,-38.81250E+00
+4.0000E+03,-37.25000E+00
+4.5000E+03,-35.64844E+00
+5.0000E+03,-34.08594E+00
+5.5000E+03,-32.48438E+00
+6.0000E+03,-30.92188E+00
+6.5000E+03,-29.32031E+00
+7.0000E+03,-27.75781E+00
+7.5000E+03,-26.15625E+00
+8.0000E+03,-24.59375E+00
+8.5000E+03,-23.03125E+00
+9.0000E+03,-21.42969E+00
+9.5000E+03,-19.86719E+00
+10.0000E+03,-18.26563E+00
+10.5000E+03,-16.70313E+00
+11.0000E+03,-15.10156E+00
+11.5000E+03,-13.53906E+00
+12.0000E+03,-11.93750E+00
+12.5000E+03,-10.37500E+00
+13.0000E+03,-8.77344E+00
+13.5000E+03,-7.21094E+00
+14.0000E+03,-5.60938E+00
+14.5000E+03,-4.04688E+00
+15.0000E+03,-2.44531E+00
+15.5000E+03,-1.50781E+00
+16.0000E+03,-1.27344E+00
+16.5000E+03,-1.03906E+00
+17.0000E+03,-765.63E-03
+17.5000E+03,-531.25E-03
+18.0000E+03,-296.88E-03
+18.5000E+03,-23.44E-03
+19.0000E+03,+210.94E-03
+19.5000E+03,+445.31E-03
+20.0000E+03,+718.75E-03
+20.5000E+03,+953.13E-03
+21.0000E+03,+1.18750E+00
+21.5000E+03,+1.46094E+00
+22.0000E+03,+1.69531E+00
+22.5000E+03,+1.96875E+00
+23.0000E+03,+2.20313E+00
+23.5000E+03,+2.43750E+00
+24.0000E+03,+2.71094E+00
+24.5000E+03,+2.94531E+00
+25.0000E+03,+3.17969E+00
+25.5000E+03,+3.45313E+00
+26.0000E+03,+3.68750E+00
+26.5000E+03,+3.92188E+00
+27.0000E+03,+4.19531E+00
+27.5000E+03,+4.42969E+00
+28.0000E+03,+4.66406E+00
+28.5000E+03,+4.93750E+00
+29.0000E+03,+5.17188E+00
+29.5000E+03,+5.44531E+00
+30.0000E+03,+5.67969E+00
+30.5000E+03,+5.91406E+00
+31.0000E+03,+6.10938E+00
+31.5000E+03,+6.26563E+00
+32.0000E+03,+6.46094E+00
+32.5000E+03,+6.61719E+00
+33.0000E+03,+6.81250E+00
+33.5000E+03,+6.96875E+00
+34.0000E+03,+7.16406E+00
+34.5000E+03,+7.32031E+00
+35.0000E+03,+7.51563E+00
+35.5000E+03,+7.67188E+00
+36.0000E+03,+7.86719E+00
+36.5000E+03,+8.02344E+00
+37.0000E+03,+8.21875E+00
+37.5000E+03,+8.37500E+00
+38.0000E+03,+8.57031E+00
+38.5000E+03,+8.72656E+00
+39.0000E+03,+8.92188E+00
+39.5000E+03,+9.07813E+00
+40.0000E+03,+9.27344E+00
+40.5000E+03,+9.42969E+00
+41.0000E+03,+9.62500E+00
+41.5000E+03,+9.78125E+00
+42.0000E+03,+9.97656E+00
+42.5000E+03,+10.13281E+00
+43.0000E+03,+10.32813E+00
+43.5000E+03,+10.48438E+00
+44.0000E+03,+10.67969E+00
+44.5000E+03,+10.83594E+00
+45.0000E+03,+11.03125E+00
+45.5000E+03,+11.18750E+00
+46.0000E+03,+11.34375E+00
+46.5000E+03,+11.46094E+00
+47.0000E+03,+11.57813E+00
+47.5000E+03,+11.69531E+00
+48.0000E+03,+11.81250E+00
+48.5000E+03,+11.96875E+00
+49.0000E+03,+12.08594E+00
+49.5000E+03,+12.20313E+00
+50.0000E+03,+12.32031E+00
+50.5000E+03,+12.43750E+00
+51.0000E+03,+12.55469E+00
+51.5000E+03,+12.71094E+00
+52.0000E+03,+12.82813E+00
+52.5000E+03,+12.94531E+00
+53.0000E+03,+13.06250E+00
+53.5000E+03,+13.17969E+00
+54.0000E+03,+13.29688E+00
+54.5000E+03,+13.41406E+00
+55.0000E+03,+13.57031E+00
+55.5000E+03,+13.68750E+00
